Account,Date,Transaction_Type,Transaction_Amount,Wallet_Impact,Balance,Recipient_Number,Is_Fraud
USER_9,2025-07-01 10:00:00,Withdraw,3,-0.01,997.96,(800)286-0492,1
USER_5,2025-07-01 10:00:00,Withdraw,1,0.01,1000.21,461.501.5585,1
USER_6,2025-07-01 10:02:00,Deposit,19,0.26,1006.84,944-514-2742x90723,1
USER_6,2025-07-01 10:04:00,Send Money,0,-0.0,1006.84,001-603-706-9394x615,1
USER_4,2025-07-01 10:08:00,Pay Bill,1,-0.01,999.89,001-432-210-2815x480,0
USER_9,2025-07-01 10:08:00,Withdraw,0,0.0,997.96,(876)921-3975x9325,1
USER_10,2025-07-01 10:10:00,Send Money,15,-0.0,999.91,759.677.9241,1
USER_4,2025-07-01 10:16:00,Send Money,0,0.0,999.89,+1-524-880-0108x6991,1
USER_2,2025-07-01 10:16:00,Deposit,14,-0.09,999.97,(339)720-2342x4624,1
USER_1,2025-07-01 10:18:00,Send Money,0,0.0,998.67,9886469170,0
USER_8,2025-07-01 10:18:00,Buy Goods,3,-0.03,1000.17,+1-920-896-8590x764,1
USER_8,2025-07-01 10:18:00,Deposit,1,-0.01,1000.16,(783)282-9457x01515,1
USER_7,2025-07-01 10:20:00,Deposit,21,-0.11,1000.27,762.473.0223x60307,1
USER_3,2025-07-01 10:22:00,Send Money,1,-0.01,1009.4,(258)761-1524x04418,0
USER_3,2025-07-01 10:24:00,Withdraw,0,-0.0,1009.4,(225)622-0986x0020,1
USER_1,2025-07-01 10:24:00,Withdraw,0,0.0,998.67,(789)763-1829,1
USER_1,2025-07-01 10:30:00,Withdraw,0,-0.0,998.67,+1-442-974-2106x1576,0
USER_5,2025-07-01 10:32:00,Buy Goods,0,-0.0,1000.21,+1-359-464-0894x6626,1
USER_7,2025-07-01 10:34:00,Buy Goods,0,0.0,1000.27,+1-592-867-4852x8889,1
USER_10,2025-07-01 10:34:00,Withdraw,0,-0.0,999.89,001-621-308-5148,1
USER_1,2025-07-01 10:34:00,Send Money,1,-0.0,998.67,284.794.5900,1
USER_10,2025-07-01 10:34:00,Buy Goods,3,-0.02,999.89,(512)261-6914x7192,1
USER_2,2025-07-01 10:34:00,Deposit,0,0.0,999.97,(373)489-8682x41502,1
USER_5,2025-07-01 10:34:00,Withdraw,0,-0.0,1000.21,+1-839-661-4458x4067,1
USER_4,2025-07-01 10:36:00,Buy Goods,11,-0.2,999.69,(762)899-7125,0
USER_5,2025-07-01 10:38:00,Deposit,0,-0.0,1000.21,+1-200-787-1690,1
USER_6,2025-07-01 10:44:00,Send Money,24,-0.05,1006.79,268-343-2752x813,1
USER_9,2025-07-01 10:44:00,Buy Goods,0,0.0,997.96,001-215-695-5664x2243,1
USER_2,2025-07-01 10:46:00,Withdraw,1,-0.01,999.96,001-265-389-0461x28665,0
USER_9,2025-07-01 10:46:00,Buy Goods,0,-0.0,997.96,001-492-641-1250x75234,0
USER_7,2025-07-01 10:46:00,Send Money,0,-0.0,1000.27,545.982.7987,0
USER_3,2025-07-01 10:50:00,Pay Bill,0,-0.0,1009.4,+1-684-517-8489x98646,1
USER_5,2025-07-01 10:52:00,Pay Bill,0,0.0,1000.21,580.563.5243x98983,0
USER_1,2025-07-01 10:54:00,Send Money,0,0.0,998.66,+1-426-236-9089x166,1
USER_1,2025-07-01 10:54:00,Buy Goods,2,-0.01,998.66,571.849.7705x6985,1
USER_4,2025-07-01 10:56:00,Pay Bill,2,-0.02,999.67,(410)925-0366,0
USER_9,2025-07-01 10:58:00,Send Money,0,0.0,997.96,001-361-903-7534x49001,1
USER_8,2025-07-01 10:58:00,Deposit,0,-0.0,1000.16,3005757655,1
USER_1,2025-07-01 10:58:00,Deposit,3,0.01,998.67,+1-874-602-3642,1
USER_2,2025-07-01 11:02:00,Buy Goods,1,-0.0,999.96,482.431.6899x0685,1
USER_4,2025-07-01 11:08:00,Buy Goods,0,-0.0,999.67,428-932-9775x14272,1
USER_6,2025-07-01 11:08:00,Send Money,0,0.0,1006.79,001-899-741-2993,1
USER_2,2025-07-01 11:10:00,Withdraw,21,0.45,1000.41,653.325.3670,1
USER_5,2025-07-01 11:14:00,Withdraw,2,-0.0,1000.21,(448)200-0555,0
USER_6,2025-07-01 11:16:00,Withdraw,52,-0.56,1006.23,412-748-8336x272,1
USER_9,2025-07-01 11:18:00,Send Money,1,-0.02,997.94,(899)453-2896,0
USER_8,2025-07-01 11:22:00,Send Money,0,-0.0,1000.16,2889198302,1
USER_1,2025-07-01 11:22:00,Send Money,6,-0.14,998.53,592-584-6164x0119,1
USER_2,2025-07-01 11:26:00,Deposit,0,0.0,1000.41,8073096818,0
USER_3,2025-07-01 11:26:00,Send Money,2,-0.03,1009.37,001-582-364-9352,0
USER_5,2025-07-01 11:26:00,Deposit,7,0.08,1000.29,405-381-1204,1
USER_5,2025-07-01 11:28:00,Send Money,0,-0.0,1000.29,279.592.1513x265,1
USER_9,2025-07-01 11:30:00,Send Money,4,0.05,997.99,(427)378-2997x9198,0
USER_4,2025-07-01 11:32:00,Pay Bill,21,-0.16,999.51,522-352-6084x8196,0
USER_8,2025-07-01 11:36:00,Send Money,1,0.01,1000.17,517-695-2151x2857,0
USER_4,2025-07-01 11:36:00,Buy Goods,1,-0.0,999.51,001-818-992-7955x633,1
USER_10,2025-07-01 11:36:00,Buy Goods,0,0.0,999.89,001-834-832-8234x78180,1
USER_3,2025-07-01 11:36:00,Deposit,2,0.01,1009.38,(470)241-0645,0
USER_3,2025-07-01 11:44:00,Withdraw,1,0.01,1009.39,792.223.8708x7564,1
USER_3,2025-07-01 11:50:00,Deposit,1,-0.0,1009.39,(569)302-3107x194,1
USER_8,2025-07-01 11:50:00,Send Money,3,-0.0,1000.17,960.973.1226x0669,1
USER_6,2025-07-01 11:50:00,Withdraw,42,-0.41,1005.82,824-861-4047,0
USER_3,2025-07-01 11:50:00,Pay Bill,0,0.0,1009.39,001-627-498-7714x22290,1
USER_9,2025-07-01 11:52:00,Send Money,157,0.26,998.25,342.664.3571x919,0
USER_10,2025-07-01 11:56:00,Pay Bill,0,-0.0,999.89,898-227-1970x17571,0
USER_2,2025-07-01 11:56:00,Withdraw,3,-0.0,1000.41,548-645-8906x77369,1
USER_7,2025-07-01 11:56:00,Deposit,0,-0.0,1000.27,(308)445-9482x4855,0
USER_6,2025-07-01 11:58:00,Pay Bill,0,0.0,1005.82,001-817-855-6640,1
USER_7,2025-07-01 11:58:00,Pay Bill,0,0.0,1000.27,(582)903-2319x3486,0
USER_10,2025-07-01 12:00:00,Buy Goods,1,0.0,999.89,001-937-314-9361x7221,1
USER_1,2025-07-01 12:04:00,Send Money,28,-0.08,998.45,709.771.3600,1
USER_10,2025-07-01 12:04:00,Pay Bill,20,-0.06,999.83,001-846-325-4925x3128,1
USER_2,2025-07-01 12:04:00,Send Money,4,0.02,1000.43,228.237.0619x7241,0
USER_8,2025-07-01 12:06:00,Pay Bill,354,-9.29,990.88,+1-223-604-0761,1
USER_3,2025-07-01 12:06:00,Buy Goods,0,0.0,1009.39,551.836.9539,0
USER_1,2025-07-01 12:08:00,Deposit,0,0.0,998.45,412-643-9320,0
USER_9,2025-07-01 12:08:00,Deposit,0,-0.0,998.25,2597604526,0
USER_9,2025-07-01 12:10:00,Withdraw,67,0.6,998.85,751.312.5507,0
USER_5,2025-07-01 12:10:00,Send Money,5,-0.1,1000.19,240.620.9528,1
USER_8,2025-07-01 12:18:00,Pay Bill,0,0.0,990.88,200-484-1962,0
USER_7,2025-07-01 12:20:00,Withdraw,0,0.0,1000.27,(996)245-2703x60835,0
USER_2,2025-07-01 12:20:00,Pay Bill,0,-0.0,1000.43,+1-868-623-1957,0
USER_9,2025-07-01 12:20:00,Withdraw,1,0.02,998.87,564.998.0307,0
USER_1,2025-07-01 12:22:00,Withdraw,3,0.0,998.45,504-272-5617x0364,0
USER_9,2025-07-01 12:26:00,Send Money,0,-0.0,998.87,(305)428-7625x20342,1
USER_3,2025-07-01 12:30:00,Withdraw,0,-0.0,1009.39,+1-939-753-8679,0
USER_4,2025-07-01 12:32:00,Send Money,7,-0.15,999.36,(808)354-9764x3752,0
USER_10,2025-07-01 12:34:00,Deposit,0,-0.0,999.83,(832)232-4277,0
USER_2,2025-07-01 12:34:00,Deposit,2,0.0,1000.43,(754)570-8469,0
USER_1,2025-07-01 12:34:00,Buy Goods,0,-0.0,998.45,611.461.6848,0
USER_1,2025-07-01 12:38:00,Pay Bill,0,-0.0,998.45,001-516-807-3430x36940,0
USER_8,2025-07-01 12:38:00,Deposit,0,0.0,990.88,001-280-557-4232x4723,1
USER_2,2025-07-01 12:40:00,Withdraw,0,-0.0,1000.43,712.577.4568x436,0
USER_3,2025-07-01 12:40:00,Pay Bill,0,-0.0,1009.39,408.450.4444,1
USER_9,2025-07-01 12:42:00,Deposit,0,0.0,998.87,578-923-3459x8192,0
USER_6,2025-07-01 12:50:00,Buy Goods,30,0.15,1005.97,694-968-2274x11632,0
USER_9,2025-07-01 12:50:00,Buy Goods,0,0.0,998.93,001-760-767-5631x6318,1
USER_9,2025-07-01 12:50:00,Send Money,4,0.06,998.93,001-738-649-5672x8574,0
USER_8,2025-07-01 12:52:00,Pay Bill,0,0.0,990.88,001-533-655-5405,1
USER_5,2025-07-01 12:52:00,Withdraw,0,0.0,1000.19,001-306-976-3111x735,1
USER_7,2025-07-01 12:56:00,Pay Bill,0,0.0,1000.27,(703)683-8210x68637,1
USER_8,2025-07-01 13:00:00,Withdraw,7,0.07,990.95,001-324-852-8456x3423,1
USER_6,2025-07-01 13:00:00,Deposit,3,0.03,1006.0,322-638-7858x89598,0
USER_8,2025-07-01 13:02:00,Deposit,0,-0.0,990.95,+1-866-899-7463x5365,0
USER_8,2025-07-01 13:06:00,Pay Bill,0,-0.0,990.95,541-630-7918x081,1
USER_2,2025-07-01 13:08:00,Pay Bill,64,0.93,1001.36,418-978-7039,0
USER_3,2025-07-01 13:08:00,Deposit,247,1.77,1011.16,449-324-6464x508,1
USER_3,2025-07-01 13:10:00,Withdraw,3,0.03,1011.19,+1-565-610-5329x39893,1
USER_9,2025-07-01 13:12:00,Pay Bill,77,-0.56,998.37,001-345-281-3203x1657,1
USER_8,2025-07-01 13:12:00,Send Money,7,0.09,991.04,+1-550-298-6349x0177,0
USER_2,2025-07-01 13:16:00,Buy Goods,17,0.04,1001.4,(229)512-2301x951,1
USER_9,2025-07-01 13:20:00,Send Money,0,0.0,998.37,742-378-0751,0
USER_4,2025-07-01 13:20:00,Pay Bill,4,0.06,999.42,+1-692-658-3299x737,0
USER_4,2025-07-01 13:20:00,Send Money,0,0.0,999.36,(471)311-2456x902,0
USER_1,2025-07-01 13:20:00,Buy Goods,8,0.08,998.53,940-732-7799x1830,1
USER_10,2025-07-01 13:22:00,Pay Bill,1,-0.01,999.82,(533)347-7525,0
USER_4,2025-07-01 13:28:00,Deposit,0,0.0,999.42,978-213-9649x62138,0
USER_1,2025-07-01 13:30:00,Send Money,1,0.01,998.54,+1-577-779-6949x407,1
USER_1,2025-07-01 13:32:00,Withdraw,2,0.0,998.54,545-993-5037x518,1
USER_6,2025-07-01 13:42:00,Buy Goods,1,0.0,1006.0,001-510-411-9451x472,0
USER_10,2025-07-01 13:46:00,Send Money,0,0.0,999.82,415.712.5531x692,1
USER_7,2025-07-01 13:46:00,Buy Goods,1,0.0,1000.27,(619)777-6396,1
USER_4,2025-07-01 13:50:00,Deposit,0,0.0,999.47,3524765314,1
USER_4,2025-07-01 13:50:00,Withdraw,11,0.05,999.47,7768349002,1
USER_5,2025-07-01 13:54:00,Buy Goods,0,-0.0,1000.19,9196536720,0
USER_10,2025-07-01 13:54:00,Pay Bill,1,-0.02,999.8,001-691-765-6076x9224,0
USER_10,2025-07-01 13:56:00,Send Money,1,0.01,999.81,242-236-1751,0
USER_5,2025-07-01 13:58:00,Pay Bill,1,0.0,1000.19,(949)399-3422x03297,0
USER_2,2025-07-01 14:02:00,Pay Bill,0,0.0,1001.4,952-324-7991x97414,0
USER_1,2025-07-01 14:06:00,Withdraw,2,0.01,998.55,(840)214-3515x48054,0
USER_7,2025-07-01 14:08:00,Send Money,0,0.0,1000.27,536-912-0410x70468,0
USER_1,2025-07-01 14:10:00,Withdraw,1,0.01,998.56,720-971-0417x2770,0
USER_2,2025-07-01 14:10:00,Pay Bill,1,-0.01,1001.39,766.668.2307,1
USER_8,2025-07-01 14:14:00,Send Money,0,-0.0,991.04,431-921-0327,1
USER_10,2025-07-01 14:16:00,Send Money,1,-0.01,999.8,+1-672-523-0761,0
USER_10,2025-07-01 14:16:00,Withdraw,0,0.0,999.8,229.424.4591x5372,0
USER_1,2025-07-01 14:18:00,Withdraw,5,-0.05,998.51,(986)935-2772x5485,0
USER_10,2025-07-01 14:18:00,Withdraw,1,-0.02,999.78,+1-617-974-9309x3332,0
USER_10,2025-07-01 14:20:00,Deposit,0,-0.0,999.78,+1-875-877-9612,0
USER_6,2025-07-01 14:22:00,Withdraw,3,0.0,1006.0,601-639-1907,0
USER_10,2025-07-01 14:28:00,Deposit,0,0.0,999.78,+1-413-514-9526,1
USER_3,2025-07-01 14:28:00,Send Money,6,-0.03,1011.16,8943717727,0
USER_8,2025-07-01 14:30:00,Withdraw,4,-0.01,991.03,2013985722,1
USER_3,2025-07-01 14:32:00,Withdraw,1,-0.0,1011.16,469-213-9082,1
USER_5,2025-07-01 14:38:00,Buy Goods,0,0.0,1000.15,958.627.6668,0
USER_4,2025-07-01 14:38:00,Buy Goods,0,-0.0,999.47,(614)719-9559x51634,1
USER_5,2025-07-01 14:38:00,Pay Bill,5,-0.04,1000.15,685-890-0017,1
USER_5,2025-07-01 14:42:00,Send Money,0,0.0,1000.15,001-261-990-0107x5077,1
USER_2,2025-07-01 14:44:00,Buy Goods,0,0.0,1001.39,+1-213-542-6856x26963,0
USER_2,2025-07-01 14:44:00,Withdraw,0,0.0,1001.39,+1-523-947-1306x153,0
USER_4,2025-07-01 14:54:00,Send Money,1,-0.0,999.47,001-412-660-8148x14773,0
USER_6,2025-07-01 14:58:00,Deposit,1,-0.01,1005.99,001-619-297-4877,1
USER_8,2025-07-01 14:58:00,Send Money,0,0.0,991.03,001-769-524-8057x332,1
USER_7,2025-07-01 15:02:00,Send Money,0,0.0,1000.27,+1-505-708-9147x4072,0
USER_3,2025-07-01 15:04:00,Buy Goods,0,-0.0,1011.16,523-691-6995x9147,0
USER_7,2025-07-01 15:06:00,Send Money,0,0.0,1000.27,467.544.2360x18387,0
USER_3,2025-07-01 15:08:00,Deposit,0,-0.0,1011.16,288-593-7192,1
USER_4,2025-07-01 15:08:00,Send Money,2,-0.02,999.45,229-846-7814,0
USER_1,2025-07-01 15:08:00,Deposit,0,0.0,998.51,(902)654-9110x58012,1
USER_9,2025-07-01 15:14:00,Pay Bill,0,-0.0,998.37,+1-373-491-8422,1
USER_1,2025-07-01 15:16:00,Buy Goods,0,0.0,998.51,(299)805-5813,0
USER_2,2025-07-01 15:16:00,Buy Goods,0,0.0,1001.39,(354)926-0845x107,1
USER_10,2025-07-01 15:18:00,Buy Goods,1,-0.02,999.76,(714)815-8987,1
USER_10,2025-07-01 15:18:00,Buy Goods,0,-0.0,999.76,+1-898-442-2759x788,1
USER_5,2025-07-01 15:22:00,Withdraw,0,-0.0,1000.15,235-739-4648x632,1
USER_8,2025-07-01 15:24:00,Withdraw,246,0.47,991.5,659.293.9649,1
USER_5,2025-07-01 15:24:00,Send Money,0,-0.0,1000.15,(855)359-0681x1676,0
USER_10,2025-07-01 15:30:00,Withdraw,1,-0.0,999.76,+1-698-922-3635x9456,0
USER_3,2025-07-01 15:32:00,Send Money,4,-0.04,1011.12,001-974-568-0396x875,1
USER_2,2025-07-01 15:32:00,Buy Goods,65,-0.48,1000.91,2768047188,0
USER_8,2025-07-01 15:36:00,Send Money,1,0.0,991.5,477.511.8092x745,1
USER_3,2025-07-01 15:36:00,Send Money,11,0.18,1011.3,981-632-7334x9887,0
USER_7,2025-07-01 15:40:00,Deposit,0,-0.0,1000.27,+1-888-678-0242,0
USER_4,2025-07-01 15:46:00,Buy Goods,0,0.0,999.45,870.629.3281,0
USER_2,2025-07-01 15:48:00,Buy Goods,1,-0.01,1000.9,001-880-683-2439,1
USER_2,2025-07-01 15:50:00,Withdraw,0,-0.0,1000.9,+1-909-509-7647x70775,0
USER_3,2025-07-01 15:50:00,Buy Goods,0,-0.0,1011.3,001-578-881-5421x29719,1
USER_9,2025-07-01 15:50:00,Deposit,0,-0.0,998.37,001-248-812-9436x4126,0
USER_9,2025-07-01 15:52:00,Pay Bill,0,0.0,998.37,(929)668-9637x064,0
USER_10,2025-07-01 15:52:00,Pay Bill,0,-0.0,999.76,539-246-6676x457,1
USER_1,2025-07-01 15:52:00,Pay Bill,5,-0.01,998.5,(510)251-7361x4969,1
USER_7,2025-07-01 15:54:00,Send Money,0,0.0,1000.27,574-872-9820x16494,0
USER_9,2025-07-01 16:02:00,Deposit,5,-0.04,998.33,884-957-2188,1
USER_4,2025-07-01 16:02:00,Buy Goods,1,0.01,999.46,+1-350-991-5223x3318,0
USER_9,2025-07-01 16:06:00,Pay Bill,2,0.01,998.34,(841)902-0205x083,0
USER_6,2025-07-01 16:08:00,Deposit,0,-0.0,1005.99,(594)582-0856,0
USER_2,2025-07-01 16:16:00,Withdraw,2,0.01,1000.91,+1-363-242-2674x29469,1
USER_5,2025-07-01 16:16:00,Deposit,0,-0.0,1000.15,500-349-7637x838,0
USER_9,2025-07-01 16:18:00,Deposit,0,0.0,998.34,702-461-3358,1
USER_3,2025-07-01 16:18:00,Deposit,50,-0.63,1010.67,881.396.4761x209,0
USER_7,2025-07-01 16:20:00,Withdraw,6,0.08,1000.35,8376528229,1
USER_6,2025-07-01 16:20:00,Send Money,0,-0.0,1005.99,795-728-4974x354,0
USER_8,2025-07-01 16:22:00,Send Money,2,0.01,991.51,(551)907-9456,0
USER_1,2025-07-01 16:24:00,Deposit,1,0.0,998.5,6662193709,1
USER_4,2025-07-01 16:24:00,Withdraw,1,-0.0,999.46,218-483-3350,1
USER_1,2025-07-01 16:26:00,Pay Bill,0,-0.0,998.5,(423)287-6104x894,1
USER_3,2025-07-01 16:28:00,Deposit,1,0.01,1010.68,914-602-2821x16826,0
USER_9,2025-07-01 16:32:00,Buy Goods,1,0.0,998.34,838.292.2205x831,0
USER_9,2025-07-01 16:32:00,Buy Goods,1,-0.02,998.32,9749393226,0
USER_2,2025-07-01 16:34:00,Send Money,0,0.0,1000.91,(907)240-1584x91091,0
USER_3,2025-07-01 16:34:00,Send Money,0,0.0,1010.68,696.530.8487,1
USER_8,2025-07-01 16:38:00,Pay Bill,0,-0.0,991.51,618-477-7250,1
USER_9,2025-07-01 16:38:00,Buy Goods,0,-0.0,998.32,482.236.0815,1
USER_7,2025-07-01 16:40:00,Buy Goods,0,-0.0,1000.35,(280)285-3140,0
USER_5,2025-07-01 16:40:00,Send Money,2,-0.02,1000.13,3742740948,1
USER_5,2025-07-01 16:40:00,Send Money,0,-0.0,1000.15,001-690-716-1382x135,0
USER_3,2025-07-01 16:42:00,Deposit,2,-0.03,1010.65,001-942-838-1604x02461,1
USER_6,2025-07-01 16:50:00,Pay Bill,0,-0.0,1005.99,+1-984-981-5669x3900,1
USER_3,2025-07-01 16:50:00,Pay Bill,14,0.18,1010.83,9574730294,1
USER_6,2025-07-01 16:52:00,Pay Bill,0,-0.0,1005.99,001-888-755-5956x8792,0
USER_5,2025-07-01 16:52:00,Buy Goods,0,0.0,1000.13,001-255-330-4540x4458,0
USER_7,2025-07-01 17:02:00,Buy Goods,5,-0.01,1000.34,962-689-0902x035,0
USER_1,2025-07-01 17:06:00,Buy Goods,1,0.01,998.51,+1-588-292-1959x5713,1
USER_4,2025-07-01 17:10:00,Buy Goods,12,0.05,999.51,(340)405-5125,0
USER_4,2025-07-01 17:10:00,Send Money,0,0.0,999.46,682-436-0184x54402,1
USER_3,2025-07-01 17:12:00,Deposit,5,-0.07,1010.76,+1-270-323-5686x6182,0
USER_7,2025-07-01 17:16:00,Buy Goods,5,-0.03,1000.31,551-551-2522x829,1
USER_1,2025-07-01 17:18:00,Withdraw,0,-0.0,998.51,+1-734-395-5519x96109,0
USER_7,2025-07-01 17:20:00,Pay Bill,0,0.0,1000.31,001-944-397-5869x4161,1
USER_1,2025-07-01 17:20:00,Send Money,0,0.0,998.51,422-494-3708x650,1
USER_9,2025-07-01 17:20:00,Deposit,0,0.0,998.32,4938168351,0
USER_6,2025-07-01 17:20:00,Pay Bill,6,0.04,1006.03,(519)390-7517,1
USER_1,2025-07-01 17:24:00,Deposit,18,0.19,998.7,+1-446-833-6835x3506,0
USER_3,2025-07-01 17:26:00,Withdraw,0,-0.0,1010.76,001-746-479-2925x2895,1
USER_1,2025-07-01 17:26:00,Withdraw,6,-0.0,998.7,4554997418,1
USER_8,2025-07-01 17:26:00,Send Money,0,-0.0,991.51,001-940-243-3892x010,0
USER_10,2025-07-01 17:26:00,Withdraw,4,-0.02,999.74,485-638-6120,1
USER_5,2025-07-01 17:28:00,Send Money,0,-0.0,1000.13,349-600-1927x14617,1
USER_3,2025-07-01 17:30:00,Buy Goods,0,-0.0,1010.76,253.984.1693,1
USER_7,2025-07-01 17:30:00,Withdraw,10,0.02,1000.33,+1-705-711-3588x581,0
USER_4,2025-07-01 17:32:00,Withdraw,3,0.03,999.54,(914)508-2646,0
USER_2,2025-07-01 17:32:00,Buy Goods,78,1.32,1002.23,+1-391-292-3249,0
USER_9,2025-07-01 17:32:00,Withdraw,10,-0.1,998.22,756.802.1479x100,1
USER_8,2025-07-01 17:36:00,Buy Goods,0,-0.0,991.51,620-353-0978x550,1
USER_7,2025-07-01 17:42:00,Buy Goods,0,0.0,1000.33,001-316-601-6751x3814,0
USER_6,2025-07-01 17:48:00,Deposit,11,-0.02,1006.01,540-498-3270,1
USER_2,2025-07-01 17:50:00,Withdraw,0,-0.0,1002.23,952-655-4322x26694,0
USER_6,2025-07-01 17:52:00,Buy Goods,0,0.0,1006.01,385-236-8355,0
USER_6,2025-07-01 17:52:00,Pay Bill,20,0.04,1006.05,428.646.5070x2335,1
USER_5,2025-07-01 17:52:00,Send Money,0,0.0,1000.13,(895)956-1982,0
USER_10,2025-07-01 17:54:00,Pay Bill,6,-0.03,999.71,001-774-619-7009x13179,1
USER_10,2025-07-01 17:54:00,Withdraw,0,-0.0,999.74,321-843-4204x888,1
USER_3,2025-07-01 17:56:00,Withdraw,6,0.1,1010.86,001-280-740-3041x16953,1
USER_8,2025-07-01 17:56:00,Deposit,0,0.0,991.51,967.237.3949,0
USER_5,2025-07-01 18:00:00,Pay Bill,0,-0.0,1000.13,001-754-753-4385x028,0
USER_9,2025-07-01 18:06:00,Buy Goods,0,-0.0,998.22,288-588-8833x752,1
USER_7,2025-07-01 18:10:00,Deposit,62,-0.55,999.78,(920)778-6383x42667,0
USER_2,2025-07-01 18:14:00,Withdraw,1,0.01,1002.24,+1-267-554-3478x497,1
USER_4,2025-07-01 18:14:00,Buy Goods,2,0.0,999.54,+1-668-890-9421x36670,1
USER_5,2025-07-01 18:20:00,Pay Bill,0,0.0,1000.13,9559046924,0
USER_3,2025-07-01 18:22:00,Withdraw,0,0.0,1010.86,(602)926-8826x74090,0
USER_1,2025-07-01 18:24:00,Pay Bill,0,0.0,998.7,001-872-205-2518x7107,0
USER_10,2025-07-01 18:24:00,Pay Bill,19,0.06,999.77,773-859-4905x794,0
USER_3,2025-07-01 18:32:00,Deposit,0,-0.0,1010.86,(583)461-9669x296,1
USER_7,2025-07-01 18:32:00,Withdraw,7,0.01,999.79,(898)932-9399x176,1
USER_10,2025-07-01 18:34:00,Buy Goods,0,-0.0,999.77,001-436-699-2747x3939,0
USER_10,2025-07-01 18:34:00,Withdraw,0,0.0,999.77,536.265.8982x8015,1
USER_8,2025-07-01 18:40:00,Buy Goods,0,-0.0,991.51,405-778-0961x34351,0
USER_10,2025-07-01 18:42:00,Withdraw,0,-0.0,999.77,915.269.4255x2766,1
USER_3,2025-07-01 18:46:00,Deposit,0,0.0,1010.86,635-393-4333x0784,0
USER_4,2025-07-01 18:52:00,Send Money,1,0.01,999.55,(541)511-4511x6276,1
USER_1,2025-07-01 18:54:00,Pay Bill,3,-0.01,998.69,(447)877-4934,0
USER_2,2025-07-01 18:56:00,Buy Goods,0,-0.0,1002.24,(702)593-5762,1
USER_7,2025-07-01 18:58:00,Deposit,0,0.0,999.79,794-646-2465,1
USER_8,2025-07-01 18:58:00,Deposit,2,0.0,991.51,636.360.0582x37934,0
USER_10,2025-07-01 19:00:00,Deposit,0,-0.0,999.77,327-625-8562x351,1
USER_4,2025-07-01 19:00:00,Withdraw,0,-0.0,999.55,421-758-8782x9752,0
USER_2,2025-07-01 19:00:00,Pay Bill,4,0.04,1002.28,9858186646,1
USER_1,2025-07-01 19:00:00,Send Money,0,0.0,998.69,7666296143,0
USER_5,2025-07-01 19:02:00,Withdraw,0,-0.0,1000.13,254-240-8761x7328,0
USER_3,2025-07-01 19:04:00,Buy Goods,2,-0.01,1010.85,001-821-435-7655x632,1
USER_7,2025-07-01 19:08:00,Pay Bill,112,-3.28,996.51,9026297142,0
USER_4,2025-07-01 19:08:00,Send Money,4,0.01,999.56,701.544.8548x368,0
USER_3,2025-07-01 19:10:00,Send Money,0,0.0,1010.85,301-339-5767x0536,0
USER_5,2025-07-01 19:12:00,Send Money,89,-0.63,999.5,+1-997-247-2445x3816,0
USER_1,2025-07-01 19:16:00,Buy Goods,0,0.0,998.69,001-446-860-6816x1997,0
USER_6,2025-07-01 19:18:00,Deposit,0,-0.0,1006.05,+1-389-600-6808x1885,1
USER_3,2025-07-01 19:26:00,Buy Goods,1,-0.01,1010.84,881.631.4023x07202,0
USER_5,2025-07-01 19:26:00,Send Money,28,0.3,999.8,336.732.8623x6398,1
USER_4,2025-07-01 19:26:00,Deposit,0,-0.0,999.56,001-542-880-1888x54360,0
USER_9,2025-07-01 19:28:00,Withdraw,13,-0.12,998.1,679.479.1228x10097,1
USER_3,2025-07-01 19:30:00,Send Money,43,0.59,1011.43,(510)686-7894x3359,1
USER_1,2025-07-01 19:34:00,Send Money,5,-0.09,998.6,(677)884-8479,0
USER_5,2025-07-01 19:34:00,Send Money,1,-0.01,999.79,348.806.8380x8186,0
USER_1,2025-07-01 19:36:00,Deposit,15,0.32,998.92,(797)249-9035x731,0
USER_9,2025-07-01 19:36:00,Withdraw,0,-0.0,998.1,973.276.4649x0383,0
USER_7,2025-07-01 19:38:00,Withdraw,3,0.05,996.56,392-712-2014x70190,0
USER_4,2025-07-01 19:40:00,Deposit,6,-0.07,999.49,456-450-7486,0
USER_8,2025-07-01 19:42:00,Buy Goods,0,0.0,991.51,001-820-444-7620x95143,1
USER_7,2025-07-01 19:42:00,Pay Bill,0,0.0,996.56,(543)531-5057,1
USER_8,2025-07-01 19:44:00,Send Money,31,-0.54,990.97,001-244-808-7305x31834,0
USER_7,2025-07-01 19:44:00,Buy Goods,0,0.0,996.56,(264)952-8030x856,0
USER_3,2025-07-01 19:46:00,Pay Bill,5,0.04,1011.47,674-709-8090,0
USER_3,2025-07-01 19:56:00,Deposit,50,0.5,1011.97,(310)812-6410,1
USER_6,2025-07-01 20:02:00,Deposit,0,-0.0,1006.05,282.321.9033x10438,1
USER_1,2025-07-01 20:02:00,Buy Goods,0,0.0,998.92,(265)406-5456x761,1
USER_6,2025-07-01 20:06:00,Pay Bill,0,-0.0,1006.05,001-730-895-0385x9687,0
USER_6,2025-07-01 20:06:00,Pay Bill,0,0.0,1006.05,277.261.9332x429,1
USER_6,2025-07-01 20:06:00,Deposit,0,0.0,1006.05,783.205.1963,1
USER_3,2025-07-01 20:08:00,Withdraw,0,-0.0,1011.97,622.525.7477x940,1
